region;country;zone;lat;lon;url;ref
asia;turkey;sindirgi kent meydani;39.23747;28.174228;https://worldcam.eu/webcams/asia/turkey/29462-sindirgi-kent-meydani;29462
asia;turkey;bandirma seaside promenade;40.3570204;27.9702585;https://worldcam.eu/webcams/asia/turkey/33590-bandirma-seaside-promenade;33590
asia;kyrgyzstan;bishkek ala too square;42.8753365;74.6036145;https://worldcam.eu/webcams/asia/kyrgyzstan/9923-bishkek-ala-too-square;9923
asia;maldives;kuredu island;5.5499999;73.45;https://worldcam.eu/webcams/asia/maldives/2714-kuredu-island;2714
asia;india;miraj central warehousing corporation miraj bd;16.8430442;74.6363744;https://worldcam.eu/webcams/asia/india/28442-miraj-central-warehousing-corporation-miraj-bd;28442
asia;israel;haifa bat galim;32.8322675;34.9785158;https://worldcam.eu/webcams/asia/israel/33945-haifa-bat-galim;33945
asia;japan;nagasaki airport;32.9149339;129.917042;https://worldcam.eu/webcams/asia/japan/19060-nagasaki-airport;19060
asia;china;dali cangshan shimen pass;25.694246;100.143503;https://worldcam.eu/webcams/asia/china/26900-dali-cangshan-shimen-pass;26900
asia;japan;zushi marina;35.2954561;139.5538536;https://worldcam.eu/webcams/asia/japan/501-zushi-marina;501
asia;turkey;afyonkarahisar several views;38.9214961;30.4842329;https://worldcam.eu/webcams/asia/turkey/13378-afyonkarahisar-several-views;13378
asia;china;shenyang hunhe bridge;41.74703;123.44741;https://worldcam.eu/webcams/asia/china/25515-shenyang-hunhe-bridge;25515
asia;kyrgyzstan;bishkek dodo pizza;42.847414;74.6111256;https://worldcam.eu/webcams/asia/kyrgyzstan/17592-bishkek-dodo-pizza;17592
asia;malaysia;redang island taaras beach;5.7846899;103.0143661;https://worldcam.eu/webcams/asia/malaysia/34368-redang-island-taaras-beach;34368
asia;japan;shimoda shirahama ohama strand;34.6894661;138.9728404;https://worldcam.eu/webcams/asia/japan/33570-shimoda-shirahama-ohama-strand;33570
asia;japan;osaka osaka castle kawasaki bridge;34.6559982;135.2773581;https://worldcam.eu/webcams/asia/japan/6993-osaka-osaka-castle-kawasaki-bridge;6993
asia;china;kunming yunnan nationalities village va village;24.967737;102.667391;https://worldcam.eu/webcams/asia/china/30513-kunming-yunnan-nationalities-village-va-village;30513
asia;india;kharagpur central warehouse;22.3439446;87.2600417;https://worldcam.eu/webcams/asia/india/28443-kharagpur-central-warehouse;28443
