region;country;zone;lat;lon;url;ref
europe;czech republic;usti nad labem vetruse panoramic view;50.659898;14.0563496;https://worldcam.eu/webcams/europe/czech-republic/680-usti-nad-labem-vetruse-panoramic-view;680
europe;germany;knittelsheim storks;49.1916206;8.2496786;https://worldcam.eu/webcams/europe/germany/10374-knittelsheim-storks;10374
europe;germany;willingen skywalk;51.281646;8.6290197;https://worldcam.eu/webcams/europe/germany/31725-willingen-skywalk;31725
europe;italy;gitschberg jochtal monte cuzzo;46.8569726;11.686944;https://worldcam.eu/webcams/europe/italy/33406-gitschberg-jochtal-monte-cuzzo;33406
europe;austria;semmering several views;47.6372319;15.820012;https://worldcam.eu/webcams/europe/austria/9082-semmering-several-views;9082
europe;finland;helsinki panoramic view;60.1931165;25.0211767;https://worldcam.eu/webcams/europe/finland/24-helsinki-panoramic-view;24
europe;france;sanary sur mer marina;43.1222749;5.7897719;https://worldcam.eu/webcams/europe/france/17834-sanary-sur-mer-marina;17834
europe;finland;aland mariehamn;60.0945544;19.9426988;https://worldcam.eu/webcams/europe/finland/25454-aland-mariehamn;25454
europe;bosnia and herzegovina;travnik fortress;44.2298371;17.6707452;https://worldcam.eu/webcams/europe/bosnia-and-herzegovina/17494-travnik-fortress;17494
europe;greece;crete ziros;35.0720808;26.1412542;https://worldcam.eu/webcams/europe/greece/32155-crete-ziros;32155
europe;bulgaria;dimitrovgrad several views;42.088578;25.5391363;https://worldcam.eu/webcams/europe/bulgaria/21109-dimitrovgrad-several-views;21109
europe;united kingdom;westward ho beachside holiday park;51.0391342;-4.2428638;https://worldcam.eu/webcams/europe/united-kingdom/19480-westward-ho-beachside-holiday-park;19480
europe;germany;kronach town centre;50.2483272;11.3411907;https://worldcam.eu/webcams/europe/germany/11950-kronach-town-centre;11950
europe;greece;veria clock square;40.5201118;22.2000502;https://worldcam.eu/webcams/europe/greece/28788-veria-clock-square;28788
europe;italy;chioggia sottomarina diga sul brenta;45.2082358;12.3118453;https://worldcam.eu/webcams/europe/italy/28279-chioggia-sottomarina-diga-sul-brenta;28279
europe;italy;salle piazza beato roberto a salle;42.1768324;13.9596944;https://worldcam.eu/webcams/europe/italy/19935-salle-piazza-beato-roberto-a-salle;19935
europe;croatia;sibenik bay;43.7275309;15.7761575;https://worldcam.eu/webcams/europe/croatia/25944-sibenik-bay;25944
europe;italy;boccadasse piazza nettuno;44.3902307;8.9746667;https://worldcam.eu/webcams/europe/italy/12512-boccadasse-piazza-nettuno;12512
europe;italy;tremosine sul garda campione;45.7533511;10.7499798;https://worldcam.eu/webcams/europe/italy/30530-tremosine-sul-garda-campione;30530
europe;croatia;bednja veliki gorenec;46.2258963;15.9666833;https://worldcam.eu/webcams/europe/croatia/15648-bednja-veliki-gorenec;15648
europe;czech republic;prostejov several views;49.4640494;17.1103115;https://worldcam.eu/webcams/europe/czech-republic/659-prostejov-several-views;659
europe;bulgaria;plovdiv bul 6 ti septemvri;42.1513533;24.7474989;https://worldcam.eu/webcams/europe/bulgaria/12875-plovdiv-bul-6-ti-septemvri;12875
europe;spain;manilva puerto de la duquesa;36.3583991;-5.2305502;https://worldcam.eu/webcams/europe/spain/17699-manilva-puerto-de-la-duquesa;17699
europe;czech republic;zlate hory panoramic view;50.2268167;17.3454413;https://worldcam.eu/webcams/europe/czech-republic/27641-zlate-hory-panoramic-view;27641
europe;france;ax les thermes le saquet;42.6755225;1.799069;https://worldcam.eu/webcams/europe/france/31577-ax-les-thermes-le-saquet;31577
europe;italy;venice ponte della costituzione;45.4388095;12.3194111;https://worldcam.eu/webcams/europe/italy/21724-venice-ponte-della-costituzione;21724
europe;italy;roccaraso center;41.8487228;14.0774154;https://worldcam.eu/webcams/europe/italy/24533-roccaraso-center;24533
europe;croatia;krapina ante starsevic street;46.1637307;15.8689591;https://worldcam.eu/webcams/europe/croatia/14368-krapina-ante-starsevic-street;14368
europe;netherlands;rotterdam de esch;51.908518;4.527829;https://worldcam.eu/webcams/europe/netherlands/11205-rotterdam-de-esch;11205
europe;united kingdom;wakefield falcons;53.6744949;-1.5021229;https://worldcam.eu/webcams/europe/united-kingdom/28967-wakefield-falcons;28967
europe;germany;kamp bornhofen rhine;50.2220423;7.6460228;https://worldcam.eu/webcams/europe/germany/18757-kamp-bornhofen-rhine;18757
europe;germany;kochel am see walchensee;47.5933673;11.3497768;https://worldcam.eu/webcams/europe/germany/14199-kochel-am-see-walchensee;14199
europe;spain;el castell de guadalest castle;38.6770999;-0.1972426;https://worldcam.eu/webcams/europe/spain/27796-el-castell-de-guadalest-castle;27796
europe;czech republic;zlin namesti prace;49.222141;17.6615403;https://worldcam.eu/webcams/europe/czech-republic/8639-zlin-namesti-prace;8639
europe;finland;lapland utsjoki northern lights;69.9234773;27.1112904;https://worldcam.eu/webcams/europe/finland/25188-lapland-utsjoki-northern-lights;25188
europe;czech republic;pisek forest;49.2864285;14.1694819;https://worldcam.eu/webcams/europe/czech-republic/26575-pisek-forest;26575
europe;netherlands;amersfoort falcons;52.178338;5.3865406;https://worldcam.eu/webcams/europe/netherlands/20164-amersfoort-falcons;20164
europe;germany;sinsheim technik museum;49.238784;8.8972426;https://worldcam.eu/webcams/europe/germany/33122-sinsheim-technik-museum;33122
europe;latvia;rezekne liberation square;56.5037852;27.333564;https://worldcam.eu/webcams/europe/latvia/15385-rezekne-liberation-square;15385
