region;country;zone;lat;lon;url;ref
poland;krakow;kombinat;50.0781694;20.0188297;https://worldcam.eu/webcams/poland/krakow/27041-kombinat;27041
poland;zakopane;wielka krokiew;49.2794102;19.9639442;https://worldcam.eu/webcams/poland/zakopane/19025-wielka-krokiew;19025
poland;lublin;kozubszczyzna storks nest on a field;51.2229843;22.4277343;https://worldcam.eu/webcams/poland/lublin/19716-kozubszczyzna-storks-nest-on-a-field;19716
poland;brenna;mini golf ice rink;49.7210697;18.9188815;https://worldcam.eu/webcams/poland/brenna/7229-mini-golf-ice-rink;7229
poland;bytnica;dobrosulow meadows;52.1916127;15.1247929;https://worldcam.eu/webcams/poland/bytnica/26769-dobrosulow-meadows;26769
poland;nowy sacz;ski park magura;49.550914;21.2408545;https://worldcam.eu/webcams/poland/nowy-sacz/6392-ski-park-magura;6392
poland;malbork;kosciuszki st castle nogat;54.0372257;19.0316771;https://worldcam.eu/webcams/poland/malbork/13383-kosciuszki-st-castle-nogat;13383
poland;bielsko biala;boleslaw chrobry square;49.8222466;19.0446201;https://worldcam.eu/webcams/poland/bielsko-biala/15049-boleslaw-chrobry-square;15049
poland;augustow;bryzgiel parkowe centrum wypoczynku wigry;53.9999973;23.0831019;https://worldcam.eu/webcams/poland/augustow/32154-bryzgiel-parkowe-centrum-wypoczynku-wigry;32154
poland;ostroda;several views;53.704626;19.9517265;https://worldcam.eu/webcams/poland/ostroda/32374-several-views;32374
poland;swarzedz;church;52.4086215;17.0659173;https://worldcam.eu/webcams/poland/swarzedz/16393-church;16393
poland;jaroslawiec;aquapark panorama morska;54.5378178;16.5499542;https://worldcam.eu/webcams/poland/jaroslawiec/5998-aquapark-panorama-morska;5998
poland;nowy sacz;cieniawa church;49.6210802;20.7709812;https://worldcam.eu/webcams/poland/nowy-sacz/15090-cieniawa-church;15090
poland;warsaw;nest box bird feeder;52.2684967;20.9388097;https://worldcam.eu/webcams/poland/warsaw/10577-nest-box-bird-feeder;10577
poland;bielsko biala;szyndzielnia;49.7531983;19.0001357;https://worldcam.eu/webcams/poland/bielsko-biala/128-szyndzielnia;128
