region;country;zone;ref;url
africa;mauritius;mahebourg ile aux aigrettes;30427;https://worldcam.eu/webcams/africa/mauritius/30427-mahebourg-ile-aux-aigrettes
africa;mauritius;le morne brabant panoramic view;30428;https://worldcam.eu/webcams/africa/mauritius/30428-le-morne-brabant-panoramic-view
africa;canary islands;tenerife puerto de la cruz san telmo beach;29737;https://worldcam.eu/webcams/africa/canary-islands/29737-tenerife-puerto-de-la-cruz-san-telmo-beach
africa;namibia;mariental kalahari desert;19761;https://worldcam.eu/webcams/africa/namibia/19761-mariental-kalahari-desert
africa;canary islands;fuerteventura corralejo rocky point;27568;https://worldcam.eu/webcams/africa/canary-islands/27568-fuerteventura-corralejo-rocky-point
africa;canary islands;gran canaria pozo izquierdo beach;21440;https://worldcam.eu/webcams/africa/canary-islands/21440-gran-canaria-pozo-izquierdo-beach
africa;canary islands;lanzarote famara;27448;https://worldcam.eu/webcams/africa/canary-islands/27448-lanzarote-famara
africa;canary islands;tenerife santa cruz de tenerife avenida tres de mayo;21639;https://worldcam.eu/webcams/africa/canary-islands/21639-tenerife-santa-cruz-de-tenerife-avenida-tres-de-mayo
africa;canary islands;lanzarote bahia orzola;29780;https://worldcam.eu/webcams/africa/canary-islands/29780-lanzarote-bahia-orzola
africa;botswana;serondela puku flats;17029;https://worldcam.eu/webcams/africa/botswana/17029-serondela-puku-flats
africa;south africa;paarl boschenmeer golf estate;31464;https://worldcam.eu/webcams/africa/south-africa/31464-paarl-boschenmeer-golf-estate
africa;canary islands;lanzarote airport;32896;https://worldcam.eu/webcams/africa/canary-islands/32896-lanzarote-airport
africa;canary islands;gran canaria maspalomas san agustin;21701;https://worldcam.eu/webcams/africa/canary-islands/21701-gran-canaria-maspalomas-san-agustin
africa;r union fr;la saline les bains beach;18215;https://worldcam.eu/webcams/africa/r-union-fr/18215-la-saline-les-bains-beach
africa;canary islands;lanzarote montana de la mina;35283;https://worldcam.eu/webcams/africa/canary-islands/35283-lanzarote-montana-de-la-mina
africa;canary islands;gran canaria maspalomas beach;20602;https://worldcam.eu/webcams/africa/canary-islands/20602-gran-canaria-maspalomas-beach
africa;canary islands;lanzarote punta mujeres;27076;https://worldcam.eu/webcams/africa/canary-islands/27076-lanzarote-punta-mujeres
africa;zambia;lower zambezi national park;20037;https://worldcam.eu/webcams/africa/zambia/20037-lower-zambezi-national-park
africa;kenya;watamu beach;14837;https://worldcam.eu/webcams/africa/kenya/14837-watamu-beach
africa;south africa;jeffreys bay supertubes;35161;https://worldcam.eu/webcams/africa/south-africa/35161-jeffreys-bay-supertubes
africa;canary islands;gran canaria telde playa del hombre;20604;https://worldcam.eu/webcams/africa/canary-islands/20604-gran-canaria-telde-playa-del-hombre
africa;canary islands;tenerife el medano;13502;https://worldcam.eu/webcams/africa/canary-islands/13502-tenerife-el-medano
africa;namibia;hardap gondwana namib park;19764;https://worldcam.eu/webcams/africa/namibia/19764-hardap-gondwana-namib-park
africa;south africa;stellenbosch aerodrome;7007;https://worldcam.eu/webcams/africa/south-africa/7007-stellenbosch-aerodrome
africa;canary islands;gran canaria las palmas puerto de la luz;32010;https://worldcam.eu/webcams/africa/canary-islands/32010-gran-canaria-las-palmas-puerto-de-la-luz
africa;canary islands;gran canaria playa del ingles;5362;https://worldcam.eu/webcams/africa/canary-islands/5362-gran-canaria-playa-del-ingles
africa;canary islands;gran canaria playa del ingles maspalomas;32226;https://worldcam.eu/webcams/africa/canary-islands/32226-gran-canaria-playa-del-ingles-maspalomas
africa;canary islands;lanzarote haria plaza leon y castillo;34037;https://worldcam.eu/webcams/africa/canary-islands/34037-lanzarote-haria-plaza-leon-y-castillo
africa;canary islands;gran canaria maspalomas mirador dunas;32536;https://worldcam.eu/webcams/africa/canary-islands/32536-gran-canaria-maspalomas-mirador-dunas
africa;canary islands;gran canaria mogan playa del cura;23836;https://worldcam.eu/webcams/africa/canary-islands/23836-gran-canaria-mogan-playa-del-cura
africa;canary islands;tenerife traffic;12125;https://worldcam.eu/webcams/africa/canary-islands/12125-tenerife-traffic
africa;cape verde;boa vista praia da cruz;28354;https://worldcam.eu/webcams/africa/cape-verde/28354-boa-vista-praia-da-cruz
africa;seychelles;la digue anse gaulettes;33164;https://worldcam.eu/webcams/africa/seychelles/33164-la-digue-anse-gaulettes
africa;south africa;kwadukuza zinkwazi beach;34978;https://worldcam.eu/webcams/africa/south-africa/34978-kwadukuza-zinkwazi-beach
africa;south africa;pretoria bird feeding station;30094;https://worldcam.eu/webcams/africa/south-africa/30094-pretoria-bird-feeding-station
