region;country;zone;ref;url
poles;antarctica;progress station;30424;https://worldcam.eu/webcams/poles/antarctica/30424-progress-station
poles;greenland;qaqartok heliport;30418;https://worldcam.eu/webcams/poles/greenland/30418-qaqartok-heliport
poles;greenland;uummannaq heliport;30413;https://worldcam.eu/webcams/poles/greenland/30413-uummannaq-heliport
poles;greenland;kangerlussuaq airport;30421;https://worldcam.eu/webcams/poles/greenland/30421-kangerlussuaq-airport
poles;greenland;tasiilaq heliport;20522;https://worldcam.eu/webcams/poles/greenland/20522-tasiilaq-heliport
poles;greenland;narsarsuaq airport;30420;https://worldcam.eu/webcams/poles/greenland/30420-narsarsuaq-airport
poles;greenland;ilulissat airport;4835;https://worldcam.eu/webcams/poles/greenland/4835-ilulissat-airport
poles;greenland;ilulissat icebergs;35711;https://worldcam.eu/webcams/poles/greenland/35711-ilulissat-icebergs
poles;greenland;kulusuk airport;19736;https://worldcam.eu/webcams/poles/greenland/19736-kulusuk-airport
poles;greenland;tasiilaq the red house panoramic view;18012;https://worldcam.eu/webcams/poles/greenland/18012-tasiilaq-the-red-house-panoramic-view
poles;greenland;nuuk airport;26794;https://worldcam.eu/webcams/poles/greenland/26794-nuuk-airport
poles;greenland;nuuk shore;19735;https://worldcam.eu/webcams/poles/greenland/19735-nuuk-shore
poles;greenland;qaarsut airport;30416;https://worldcam.eu/webcams/poles/greenland/30416-qaarsut-airport
poles;greenland;nanortalik heliport;30422;https://worldcam.eu/webcams/poles/greenland/30422-nanortalik-heliport
poles;greenland;narsaq heliport;30415;https://worldcam.eu/webcams/poles/greenland/30415-narsaq-heliport
poles;greenland;nuuk airport;21870;https://worldcam.eu/webcams/poles/greenland/21870-nuuk-airport
poles;greenland;narsarsuaq airport;30419;https://worldcam.eu/webcams/poles/greenland/30419-narsarsuaq-airport
poles;greenland;ilulissat airport;30423;https://worldcam.eu/webcams/poles/greenland/30423-ilulissat-airport
poles;greenland;kangerlussuaq airport;30414;https://worldcam.eu/webcams/poles/greenland/30414-kangerlussuaq-airport
