region;country;zone;ref;url
poland;krakow;kombinat;27041;https://worldcam.eu/webcams/poland/krakow/27041-kombinat
poland;zakopane;wielka krokiew;19025;https://worldcam.eu/webcams/poland/zakopane/19025-wielka-krokiew
poland;lublin;kozubszczyzna storks nest on a field;19716;https://worldcam.eu/webcams/poland/lublin/19716-kozubszczyzna-storks-nest-on-a-field
poland;brenna;mini golf ice rink;7229;https://worldcam.eu/webcams/poland/brenna/7229-mini-golf-ice-rink
poland;bytnica;dobrosulow meadows;26769;https://worldcam.eu/webcams/poland/bytnica/26769-dobrosulow-meadows
poland;nowy sacz;ski park magura;6392;https://worldcam.eu/webcams/poland/nowy-sacz/6392-ski-park-magura
poland;malbork;kosciuszki st castle nogat;13383;https://worldcam.eu/webcams/poland/malbork/13383-kosciuszki-st-castle-nogat
poland;bielsko biala;boleslaw chrobry square;15049;https://worldcam.eu/webcams/poland/bielsko-biala/15049-boleslaw-chrobry-square
poland;augustow;bryzgiel parkowe centrum wypoczynku wigry;32154;https://worldcam.eu/webcams/poland/augustow/32154-bryzgiel-parkowe-centrum-wypoczynku-wigry
poland;ostroda;several views;32374;https://worldcam.eu/webcams/poland/ostroda/32374-several-views
poland;swarzedz;church;16393;https://worldcam.eu/webcams/poland/swarzedz/16393-church
poland;jaroslawiec;aquapark panorama morska;5998;https://worldcam.eu/webcams/poland/jaroslawiec/5998-aquapark-panorama-morska
poland;nowy sacz;cieniawa church;15090;https://worldcam.eu/webcams/poland/nowy-sacz/15090-cieniawa-church
poland;warsaw;nest box bird feeder;10577;https://worldcam.eu/webcams/poland/warsaw/10577-nest-box-bird-feeder
poland;bielsko biala;szyndzielnia;128;https://worldcam.eu/webcams/poland/bielsko-biala/128-szyndzielnia
poland;chlapowo;lazurowe beach;24261;https://worldcam.eu/webcams/poland/chlapowo/24261-lazurowe-beach
poland;wegorzewo;port keja;19523;https://worldcam.eu/webcams/poland/wegorzewo/19523-port-keja
poland;lancut;ul danielewicza;24434;https://worldcam.eu/webcams/poland/lancut/24434-ul-danielewicza
