region;country;zone;ref;url
south america;trinidad and tobago;tobago scarborough port mall;10299;https://worldcam.eu/webcams/south-america/trinidad-and-tobago/10299-tobago-scarborough-port-mall
south america;brazil;campo grande city center;19749;https://worldcam.eu/webcams/south-america/brazil/19749-campo-grande-city-center
south america;brazil;apucarana several views;30349;https://worldcam.eu/webcams/south-america/brazil/30349-apucarana-several-views
south america;argentina;paranacito justo jose de urquiza bridge;33666;https://worldcam.eu/webcams/south-america/argentina/33666-paranacito-justo-jose-de-urquiza-bridge
south america;peru;tacna plaza mayor;27212;https://worldcam.eu/webcams/south-america/peru/27212-tacna-plaza-mayor
south america;brazil;goiania several views;10278;https://worldcam.eu/webcams/south-america/brazil/10278-goiania-several-views
south america;brazil;espirito santo several views;30998;https://worldcam.eu/webcams/south-america/brazil/30998-espirito-santo-several-views
south america;brazil;bastos;29988;https://worldcam.eu/webcams/south-america/brazil/29988-bastos
south america;brazil;balneario camboriu roda gigante;21962;https://worldcam.eu/webcams/south-america/brazil/21962-balneario-camboriu-roda-gigante
south america;brazil;brumadinho several views;31202;https://worldcam.eu/webcams/south-america/brazil/31202-brumadinho-several-views
south america;argentina;veladero gold mine;26870;https://worldcam.eu/webcams/south-america/argentina/26870-veladero-gold-mine
south america;brazil;cuiaba panoramic view;19750;https://worldcam.eu/webcams/south-america/brazil/19750-cuiaba-panoramic-view
south america;chile;osterinsel rapa nui moai statues;27933;https://worldcam.eu/webcams/south-america/chile/27933-osterinsel-rapa-nui-moai-statues
south america;brazil;telemaco borba airport;2850;https://worldcam.eu/webcams/south-america/brazil/2850-telemaco-borba-airport
south america;brazil;sao luis panoramic view;29940;https://worldcam.eu/webcams/south-america/brazil/29940-sao-luis-panoramic-view
south america;brazil;aracaju several views;7854;https://worldcam.eu/webcams/south-america/brazil/7854-aracaju-several-views
south america;brazil;tupa several views;27412;https://worldcam.eu/webcams/south-america/brazil/27412-tupa-several-views
south america;brazil;florianopolis sambaqui;21961;https://worldcam.eu/webcams/south-america/brazil/21961-florianopolis-sambaqui
south america;trinidad and tobago;san juan traffic;8984;https://worldcam.eu/webcams/south-america/trinidad-and-tobago/8984-san-juan-traffic
south america;chile;vina del mar playa renaca;28273;https://worldcam.eu/webcams/south-america/chile/28273-vina-del-mar-playa-renaca
south america;argentina;villa maria puente velez sarsfield;16439;https://worldcam.eu/webcams/south-america/argentina/16439-villa-maria-puente-velez-sarsfield
south america;argentina;buenos aires el obelisco;19171;https://worldcam.eu/webcams/south-america/argentina/19171-buenos-aires-el-obelisco
south america;peru;lima punta hermosa playa caballeros;28732;https://worldcam.eu/webcams/south-america/peru/28732-lima-punta-hermosa-playa-caballeros
south america;brazil;ilhabela praca das bandeiras;26075;https://worldcam.eu/webcams/south-america/brazil/26075-ilhabela-praca-das-bandeiras
south america;brazil;taio panoramic view;33378;https://worldcam.eu/webcams/south-america/brazil/33378-taio-panoramic-view
south america;argentina;tolhuin park;33267;https://worldcam.eu/webcams/south-america/argentina/33267-tolhuin-park
south america;chile;lo barnechea el colorado;35771;https://worldcam.eu/webcams/south-america/chile/35771-lo-barnechea-el-colorado
south america;brazil;campos dos goytacazes traffic;25653;https://worldcam.eu/webcams/south-america/brazil/25653-campos-dos-goytacazes-traffic
