region;country;zone;ref;url
asia;turkey;sindirgi kent meydani;29462;https://worldcam.eu/webcams/asia/turkey/29462-sindirgi-kent-meydani
asia;turkey;bandirma seaside promenade;33590;https://worldcam.eu/webcams/asia/turkey/33590-bandirma-seaside-promenade
asia;kyrgyzstan;bishkek ala too square;9923;https://worldcam.eu/webcams/asia/kyrgyzstan/9923-bishkek-ala-too-square
asia;maldives;kuredu island;2714;https://worldcam.eu/webcams/asia/maldives/2714-kuredu-island
asia;india;miraj central warehousing corporation miraj bd;28442;https://worldcam.eu/webcams/asia/india/28442-miraj-central-warehousing-corporation-miraj-bd
asia;israel;haifa bat galim;33945;https://worldcam.eu/webcams/asia/israel/33945-haifa-bat-galim
asia;japan;nagasaki airport;19060;https://worldcam.eu/webcams/asia/japan/19060-nagasaki-airport
asia;china;dali cangshan shimen pass;26900;https://worldcam.eu/webcams/asia/china/26900-dali-cangshan-shimen-pass
asia;japan;zushi marina;501;https://worldcam.eu/webcams/asia/japan/501-zushi-marina
asia;turkey;afyonkarahisar several views;13378;https://worldcam.eu/webcams/asia/turkey/13378-afyonkarahisar-several-views
asia;china;shenyang hunhe bridge;25515;https://worldcam.eu/webcams/asia/china/25515-shenyang-hunhe-bridge
asia;kyrgyzstan;bishkek dodo pizza;17592;https://worldcam.eu/webcams/asia/kyrgyzstan/17592-bishkek-dodo-pizza
asia;malaysia;redang island taaras beach;34368;https://worldcam.eu/webcams/asia/malaysia/34368-redang-island-taaras-beach
asia;japan;shimoda shirahama ohama strand;33570;https://worldcam.eu/webcams/asia/japan/33570-shimoda-shirahama-ohama-strand
asia;japan;osaka osaka castle kawasaki bridge;6993;https://worldcam.eu/webcams/asia/japan/6993-osaka-osaka-castle-kawasaki-bridge
asia;china;kunming yunnan nationalities village va village;30513;https://worldcam.eu/webcams/asia/china/30513-kunming-yunnan-nationalities-village-va-village
asia;india;kharagpur central warehouse;28443;https://worldcam.eu/webcams/asia/india/28443-kharagpur-central-warehouse
asia;japan;maibara gransnow okuibuki;31740;https://worldcam.eu/webcams/asia/japan/31740-maibara-gransnow-okuibuki
asia;israel;hadera beach;30810;https://worldcam.eu/webcams/asia/israel/30810-hadera-beach
asia;south korea;gangneung gyeongpo beach;32625;https://worldcam.eu/webcams/asia/south-korea/32625-gangneung-gyeongpo-beach
asia;south korea;seoul gwanghwamun boulevard;31361;https://worldcam.eu/webcams/asia/south-korea/31361-seoul-gwanghwamun-boulevard
asia;turkey;unlupinar;26290;https://worldcam.eu/webcams/asia/turkey/26290-unlupinar
asia;japan;nikko nico nico honjin;27455;https://worldcam.eu/webcams/asia/japan/27455-nikko-nico-nico-honjin
asia;china;putian meizhou island;28649;https://worldcam.eu/webcams/asia/china/28649-putian-meizhou-island
asia;philippines;pasig maybunga pasig rainforest park;35266;https://worldcam.eu/webcams/asia/philippines/35266-pasig-maybunga-pasig-rainforest-park
