timestamp;event;ip;hostname
2025-06-18 05:16:32;JOIN;192.168.1.1;_gateway
2025-06-18 05:16:32;JOIN;192.168.1.35;Unknown
2025-06-18 05:16:32;JOIN;192.168.1.40;Unknown
2025-06-18 05:16:32;JOIN;192.168.1.34;Unknown
2025-06-18 05:16:32;JOIN;192.168.1.36;Unknown
2025-06-18 05:16:32;JOIN;192.168.1.41;Unknown
2025-06-18 05:16:32;JOIN;192.168.1.38;Unknown
2025-06-18 05:16:33;JOIN;192.168.1.47;Unknown
2025-06-18 05:16:33;JOIN;192.168.1.22;Unknown
2025-06-18 05:16:33;JOIN;192.168.1.37;Unknown
2025-06-18 05:16:33;JOIN;192.168.1.50;Unknown
2025-06-18 05:16:33;JOIN;192.168.1.56;Unknown
2025-06-18 05:16:33;JOIN;192.168.1.69;Unknown
2025-06-18 05:16:33;JOIN;192.168.1.68;Unknown
2025-06-18 05:16:33;JOIN;192.168.1.89;Unknown
2025-06-18 05:16:33;JOIN;192.168.1.206;Unknown
2025-06-18 05:16:35;JOIN;192.168.1.32;Unknown
2025-06-18 05:16:35;LEAVE;192.168.1.89;Unknown
2025-06-18 05:16:38;JOIN;192.168.1.49;Unknown
2025-06-18 05:16:38;LEAVE;192.168.1.41;Unknown
2025-06-18 05:16:41;JOIN;192.168.1.41;Unknown
2025-06-18 05:16:47;JOIN;192.168.1.31;Unknown
2025-06-18 05:16:47;JOIN;192.168.1.92;Unknown
2025-06-18 05:16:47;LEAVE;192.168.1.206;Unknown
2025-06-18 05:16:47;LEAVE;192.168.1.49;Unknown
2025-06-18 05:16:47;LEAVE;192.168.1.47;Unknown
2025-06-18 05:16:50;JOIN;192.168.1.47;Unknown
2025-06-18 05:16:50;JOIN;192.168.1.49;Unknown
2025-06-18 05:16:50;JOIN;192.168.1.206;Unknown
2025-06-18 05:16:50;LEAVE;192.168.1.92;Unknown
2025-06-18 05:16:52;JOIN;192.168.1.89;Unknown
2025-06-18 05:16:52;LEAVE;192.168.1.31;Unknown
2025-06-18 05:16:52;LEAVE;192.168.1.49;Unknown
2025-06-18 05:16:56;JOIN;192.168.1.31;Unknown
2025-06-18 05:16:56;LEAVE;192.168.1.37;Unknown
2025-06-18 05:16:56;LEAVE;192.168.1.47;Unknown
2025-06-18 05:16:59;JOIN;192.168.1.37;Unknown
2025-06-18 05:16:59;JOIN;192.168.1.49;Unknown
2025-06-18 05:16:59;JOIN;192.168.1.47;Unknown
2025-06-18 05:16:59;LEAVE;192.168.1.22;Unknown
2025-06-18 05:16:59;LEAVE;192.168.1.31;Unknown
2025-06-18 05:17:01;LEAVE;192.168.1.49;Unknown
2025-06-18 05:17:03;JOIN;192.168.1.22;Unknown
2025-06-18 05:17:03;JOIN;192.168.1.31;Unknown
2025-06-18 05:17:03;LEAVE;192.168.1.37;Unknown
2025-06-18 05:17:03;LEAVE;192.168.1.89;Unknown
2025-06-18 05:17:05;JOIN;192.168.1.89;Unknown
2025-06-18 05:17:05;LEAVE;192.168.1.22;Unknown
2025-06-18 05:17:05;LEAVE;192.168.1.206;Unknown
2025-06-18 05:17:07;JOIN;192.168.1.37;Unknown
2025-06-18 05:17:07;JOIN;192.168.1.206;Unknown
2025-06-18 05:17:07;LEAVE;192.168.1.47;Unknown
2025-06-18 05:17:09;JOIN;192.168.1.47;Unknown
2025-06-18 05:17:09;JOIN;192.168.1.22;Unknown
2025-06-18 05:17:09;LEAVE;192.168.1.37;Unknown
2025-06-18 05:17:11;JOIN;192.168.1.37;Unknown
2025-06-18 05:17:11;LEAVE;192.168.1.22;Unknown
2025-06-18 05:17:11;LEAVE;192.168.1.31;Unknown
2025-06-18 05:17:11;LEAVE;192.168.1.1;Unknown
2025-06-18 05:17:13;JOIN;192.168.1.1;_gateway
2025-06-18 05:17:13;JOIN;192.168.1.22;Unknown
2025-06-18 05:17:15;LEAVE;192.168.1.34;Unknown
2025-06-18 05:17:15;LEAVE;192.168.1.1;Unknown
2025-06-18 05:17:17;JOIN;192.168.1.1;_gateway
2025-06-18 05:17:17;JOIN;192.168.1.34;Unknown
2025-06-18 05:17:17;JOIN;192.168.1.31;Unknown
2025-06-18 05:17:19;LEAVE;192.168.1.38;Unknown
2025-06-18 05:17:19;LEAVE;192.168.1.31;Unknown
2025-06-18 05:17:19;LEAVE;192.168.1.41;Unknown
2025-06-18 05:17:21;JOIN;192.168.1.31;Unknown
2025-06-18 05:17:21;JOIN;192.168.1.38;Unknown
